UID,Name,Age,Weight,Height,WR,Rc Injury,Nat,Division,Club,Wage,Expires,Position,Sec. Position,Starts,Mins,Pas %,Asts/90,xA/90,Pr passes/90,OP-KP/90,Ch C/90,OP-Cr %,OP-Crs C/90,Conv %,xG-OP,ShT/90,Shots Outside Box/90,NP-xG/90,Gl Mst,Tck/90,Tck R,Clr/90,K Tck/90,K Hdrs/90,Aer A/90,Hdr %,Hdrs W/90,Blk/90,Poss Won/90,Poss Lost/90,Sprints/90,Drb/90,Dist/90,Pres C/90,Pres A/90,Svt,Svp,Svh,xGP/90
65026071,Sihle Nduli,29,72 kg,181 cm,,-,RSA,National First Division,NB La Masia,"€70,000 p/a",30/6/2025,AM (C),-,18,"1,329",86%,0.07,0.07,2.84,1.29,0.14,14%,0.07,9%,-0.19,0.41,1.02,0.15,0,0.68,63%,0.95,0,0.07,6.91,36%,2.51,0.14,5.21,8.33,6.91,1.15,12.9km,1.56,5.82,-,-,-,-
65025726,Abel Mabaso,34,70 kg,175 cm,,-,RSA,DStv Premiership,Baroka,"€45,000 p/a",30/6/2025,"D (RL), DM",D (L),24,"2,091",87%,0.17,0.15,4.39,1.16,0.17,6%,0.09,-,-1.87,0.13,0.26,0.08,0,1.81,78%,1.76,0.09,0.52,6.71,42%,2.84,0.6,11.79,8.95,10.89,0.6,12.4km,2.15,8.87,-,-,-,-
12035511,Oussama Meddahi,34,69 kg,170 cm,,-,ALG,Ligue Professionelle 1 Mobilis,CS Constantine,"€185,000 p/a",30/6/2025,D/WB (R),-,43,"3,870",70%,0.12,0.11,0,0,-,-,0,14%,1.14,0.12,0,0.04,0,1.72,96%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
87042831,Elison Rivas,25,72 kg,178 cm,,-,HON,Liga Betcris de Honduras,Vida,"€30,500 p/a",30/6/2025,D/WB (L),-,15,"1,350",70%,-,0.08,0,0,-,-,0,-,-0.65,0,0,0.04,0,1.8,100%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
86069474,Lenin Ayoví,22,80 kg,190 cm,,-,ECU,Qatar Second Division League,Al-Kharaitiyat,"€228,000 p/a",30/6/2025,GK,-,26,"2,340",61%,-,0,0,0,-,-,-,-,0,-,-,0,0,-,-,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,0,0,0,0
85121619,Jonathan Rivas,33,79 kg,184 cm,,-,TUN,Championnat de la Ligue Professionnelle 2,CS Hammam-Lif,"€112,000 p/a",30/6/2025,ST (C),-,29,"2,649",57%,0.14,0.09,0,0,-,-,0,13%,1.62,1.43,0,0.35,0,1.26,54%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
12095101,Issaka Dankoussou,22,77 kg,188 cm,,-,BEN,Beninese Ligue 1 - Pool D,AS Dragons,"€19,000 p/a",30/6/2025,GK,-,43,"3,870",61%,-,0,0,0,-,-,-,-,0,-,-,0,0,-,-,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,0,0,0,0
13104283,Benson Shilongo,32,77 kg,185 cm,,-,NAM,SAFA Second Division - Gauteng,Alex Utd,"€18,500 p/a",30/6/2025,ST (C),-,26,"2,340",60%,0.31,0.06,0,0,-,-,0,5%,-2.93,1.27,0,0.27,0,1,67%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
13111022,Sula Matovu,32,65 kg,167 cm,,-,UGA,Oman Professional League,Dhofar,"€23,000 p/a",30/6/2025,AM (L),-,36,"3,296",76%,0.05,0.06,1.34,0.76,0.03,18%,0.38,16%,1.3,0.16,0.03,0.05,0,1.45,84%,0.46,0.05,0.03,3.28,44%,1.45,0.25,1.42,5.93,6.09,0.74,5.4km,1.39,4.34,-,-,-,-
85072592,Harouna Abou Demba,33,72 kg,178 cm,,-,MTN,FFRIM Super D1,ASAC Concorde,"€18,000 p/a",30/6/2025,D (R),-,27,"2,433",71%,0.07,0.12,0,0,-,-,0,9%,0.36,0.07,0,0.02,0,2.15,98%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
