UID,Name,Age,Weight,Height,WR,Rc Injury,Nat,Division,Club,Wage,Expires,Position,Sec. Position,Starts,Mins,Pas %,Asts/90,xA/90,Pr passes/90,OP-KP/90,Ch C/90,OP-Cr %,OP-Crs C/90,Conv %,xG-OP,ShT/90,Shots Outside Box/90,NP-xG/90,Gl Mst,Tck/90,Tck R,Clr/90,K Tck/90,K Hdrs/90,Aer A/90,Hdr %,Hdrs W/90,Blk/90,Poss Won/90,Poss Lost/90,Sprints/90,Drb/90,Dist/90,Pres C/90,Pres A/90,Svt,Svp,Svh,xGP/90
67198216,Jorge Sáenz,28,75 kg,192 cm,,-,ESP,LaLiga EA SPORTS,Leganés,"€193,000 p/a",30/6/2024,D (C),-,21,"1,834",90%,0.05,0.01,3.83,0.2,-,100%,0.1,-,-1.14,0.05,0.15,0.06,0,1.13,85%,1.08,0.25,1.03,6.67,73%,4.86,0.54,9.27,4.96,5.05,0.2,11.2km,1.13,2.4,-,-,-,-
15069939,Connor Metcalfe,25,70 kg,183 cm,,-,AUS,Bundesliga,St. Pauli,"€399,000 p/a",30/6/2024,"DM, M (C)",-,18,"1,463",89%,0.12,0.06,2.46,1.23,0.18,14%,0.18,10%,0.35,0.18,0.31,0.04,0,2.71,86%,0.92,0.06,0.12,3.2,29%,0.92,0.25,9.84,15.44,11.07,0.86,12.4km,3.26,10.46,-,-,-,-
43390940,Alessandro Zanoli,24,81 kg,188 cm,,-,ITA,Serie A enilive,Genoa,"€740,000 p/a",30/6/2024,D/WB (R),WB (R),20,"1,700",85%,0.11,0.03,5.24,0.9,-,15%,0.32,-,-1.75,0.05,0.05,0.09,0,2.17,79%,1.11,0.16,0.58,6.72,65%,4.39,0.85,9.9,15.78,15.99,1.22,12.4km,1.96,7.46,-,-,-,-
43124226,Lorenzo Montipò,28,82 kg,191 cm,,-,ITA,Serie A enilive,Hellas Verona,"€1,435,000 p/a",30/6/2027,GK,-,19,"1,694",71%,-,0,0,0,-,-,-,-,0,-,-,0,1,0,0%,0.74,0,0,-,-,-,-,3.56,9.14,0,-,6.3km,0,0,9,32,20,-0.16
49039276,Tanguy Coulibaly,23,75 kg,178 cm,,-,CIV,Ligue 1 McDonald's,Montpellier,"€204,000 p/a",30/6/2024,M/AM (RL),M (RL),15,"1,057",84%,0.09,0.25,2.55,1.45,0.68,20%,0.68,11%,0.49,0.6,0.6,0.13,0,1.79,88%,1.45,0,0,4.85,35%,1.7,0.34,4.17,21.54,14.13,3.83,12.4km,2.64,12.26,-,-,-,-
24054803,Domagoj Bradarić,25,69 kg,178 cm,,-,CRO,Serie A enilive,Hellas Verona,"€1,280,000 p/a",30/6/2025,D/WB (L),-,18,"1,490",89%,0.06,0.09,6.52,0.48,0.12,14%,0.12,-,0,-,0,0,1,3.2,83%,0.79,0.06,0.18,3.2,40%,1.27,0.72,10.21,14.5,14.98,2.11,13.1km,2.84,9.91,-,-,-,-
67279603,Carlos Domínguez,23,82 kg,187 cm,,-,ESP,LaLiga EA SPORTS,Vigo,"€182,000 p/a",30/6/2025,D (C),-,20,"1,712",92%,0.11,0.05,4.15,0.26,0.05,17%,0.05,-,-0.32,0,0.11,0.02,0,1.05,65%,1.63,0.42,1.37,8.2,72%,5.94,0.63,11.67,4.47,5.05,0.11,11.1km,1.31,3.42,-,-,-,-
24055490,Jakov Medić,26,91 kg,193 cm,,-,CRO,Bundesliga,VfL Bochum,"€364,000 p/a",30/6/2027,D (C),-,15,"1,308",93%,-,0.02,4.33,0.28,0.07,50%,0.07,-,-0.39,0.07,0.07,0.03,0,1.1,84%,0.96,0.21,0.89,7.29,59%,4.33,0.41,13.83,3.58,5.3,0.34,11.6km,1.1,3.17,-,-,-,-
13173388,Meschack Elia,27,67 kg,173 cm,,-,COD,Ligue 1 McDonald's,FC Nantes,"€815,000 p/a",30/6/2025,"AM (R), ST (C)",-,16,"1,245",84%,0.07,0.08,2.53,1.3,0.22,14%,0.36,12%,-1.16,0.8,0.51,0.37,0,2.1,73%,0.51,0,0,4.41,11%,0.51,0.07,3.47,19.37,14.31,3.33,12.9km,3.54,11.57,-,-,-,-
21024436,Nikola Vasilj,29,86 kg,193 cm,,-,BIH,Bundesliga,St. Pauli,"€648,000 p/a",30/6/2025,GK,-,18,"1,611",78%,-,0,0,0,-,-,-,-,0,-,-,0,0,0,0%,6.15,0,0,-,-,-,-,2.96,8.16,0,-,6.0km,0,0,12,36,15,0.3
