UID,Name,Age,Weight,Height,WR,Rc Injury,Nat,Division,Club,Wage,Asking Price,Expires,Position,Sec. Position,Starts,Mins,Pas %,Asts/90,xA/90,Pr passes/90,OP-KP/90,Ch C/90,OP-Cr %,OP-Crs C/90,Conv %,xG-OP,ShT/90,Gls/90,Shots Outside Box/90,NP-xG/90,Gl Mst,xA,Tck/90,Tck R,Clr/90,K Tck/90,K Hdrs/90,Aer A/90,Hdr %,Hdrs W/90,Blk/90,Poss Won/90,Poss Lost/90,Sprints/90,Drb/90,Dist/90,Pres C/90,Pres A/90,Svt,Svp,Svh,xGP/90,Con/90,xSv %,Sv %
2000180423,Siyabonga Khumalo,23,74 kg,186 cm,,-,RSA,DStv Premiership,Maritzburg Utd,"€30,000 p/a",-,30/6/2027,M/AM (R),M (R),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000333199,Thandoluhle Gazu,22,75 kg,185 cm,,-,RSA,National First Division,Richards Bay,"€6,500 p/a",-,30/6/2029,"DM, M (C)",-,3,281,82%,-,0.17,2.88,0.64,0.64,50%,0.32,-,-0.24,0,-,0,0.08,0,0.54,1.6,63%,1.28,0,0.64,5.77,39%,2.24,0.32,5.12,6.73,8.97,-,11.4km,2.88,7.37,-,-,-,-,-,-,-
2000294538,Thabang Molefe,22,85 kg,197 cm,,-,RSA,DStv Premiership,Polokwane City,"€16,000 p/a",-,30/6/2026,GK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000294533,Meshua Mello,22,73 kg,180 cm,,-,RSA,National First Division,JDR Stars,"€32,500 p/a",-,30/6/2027,"AM (L), ST (C)",AM (L),7,703,79%,0.13,0.03,0.51,0.64,-,0%,0,-,-1.07,0.38,-,0.51,0.14,0,0.23,0.64,63%,0.51,0,0,10.88,27%,2.94,0.13,0.77,25.48,5.89,1.15,11.9km,1.41,5.89,-,-,-,-,-,-,-
65045274,Siyanda Soyamba,22,77 kg,186 cm,,-,RSA,DStv Premiership,Cape Town Spurs,"€17,000 p/a",-,30/6/2026,AM (RC),AM (R),-,84,93%,-,0.33,4.29,2.14,1.07,-,0,-,-0.12,1.07,-,3.21,0.13,0,0.31,1.07,100%,0,0,0,6.43,17%,1.07,-,5.36,5.36,1.07,-,0.0km,0,2.14,-,-,-,-,-,-,-
2002151561,Thulane Nyathi,16,63 kg,176 cm,,-,RSA,DStv Premiership,Kaizer Chiefs,"€1,500 p/a",-,30/6/2029,M (C),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000146007,Kwanele Goba,23,86 kg,197 cm,,-,RSA,National First Division,Royal AM,"€28,000 p/a",-,30/6/2026,GK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000223302,Montel Tobias,23,80 kg,188 cm,,-,RSA,National First Division,Black Leopards,"€30,000 p/a",-,30/6/2026,D (C),-,-,58,97%,-,-,-,-,-,-,-,-,0,-,-,-,-,0,0,-,100%,-,-,-,-,100%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000261113,Teboho Roos,24,74 kg,183 cm,,-,RSA,National First Division,City Rovers,"€32,000 p/a",-,30/6/2026,AM (C),-,-,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000172009,Niyaaz Josephs,24,82 kg,196 cm,,-,RSA,National First Division,NB La Masia,"€29,000 p/a",€3K,30/6/2026,GK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000180315,Ntlweleng Thuto,23,65 kg,172 cm,,-,RSA,DStv Premiership,Polokwane City,"€30,500 p/a",-,30/6/2027,"WB (L), AM (RC)",WB (L),-,103,97%,-,0,3.5,0,-,0%,0,-,-0.11,0,-,0,0.1,0,0,3.5,100%,0,0,0,5.24,0%,0,-,5.24,9.61,7.86,1.75,13.9km,5.24,11.36,-,-,-,-,-,-,-
65045520,Amos Mokwena,26,81 kg,193 cm,,-,RSA,DStv Premiership,Chippa Utd,"€29,000 p/a",-,30/6/2026,GK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000264429,Ayabonga Gwangqa,22,67 kg,171 cm,,-,RSA,National First Division,Upington City,"€8,500 p/a",-,30/6/2026,GK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000294529,Thereso Chuene,23,64 kg,173 cm,,-,RSA,DStv Premiership,Polokwane City,"€29,500 p/a",-,30/6/2026,"M (LC), AM (L)",M (LC),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002093023,Thapelo Phatsoane,18,78 kg,189 cm,,-,RSA,DStv Premiership,Sekhukhune Utd,"€23,000 p/a",-,30/6/2028,D (C),-,3,348,79%,-,0.06,3.88,0,-,0%,0,-,-0.14,0,-,0,0.04,0,0.23,2.33,100%,0.52,0.26,3.36,9.05,86%,7.76,0.78,10.6,6.72,4.4,-,11.0km,0.52,4.4,-,-,-,-,-,-,-
2000287150,Glen Malesa,24,77 kg,189 cm,,-,RSA,National First Division,Magesi FC,"€31,000 p/a",-,30/6/2026,AM (C),-,-,20,80%,-,-,-,-,-,-,-,-,0,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000294535,Vincent Mtsweni,22,77 kg,186 cm,,-,RSA,DStv Premiership,Polokwane City,"€14,000 p/a",-,30/6/2026,D (C),-,1,170,73%,-,0,6.88,0,-,-,0,-,-0.1,0,-,0,0.05,0,0,-,-,2.12,0,1.59,5.29,50%,2.65,-,7.94,7.94,3.71,-,11.5km,0.53,1.06,-,-,-,-,-,-,-
2000146183,Vusi Mkwanazi,23,66 kg,173 cm,,-,RSA,National First Division,Black Leopards,"€31,500 p/a",-,30/6/2026,"DM, M (C)",-,-,18,100%,-,-,-,-,-,-,-,-,0,-,-,-,-,0,0.02,-,100%,-,-,-,-,0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000294528,Moloko Nape,22,55 kg,161 cm,,-,RSA,DStv Premiership,Polokwane City,"€14,500 p/a",-,30/6/2026,ST (C),-,1,100,93%,-,0,0,0,-,0%,0,-,0,-,-,0,0,0,0,0.9,100%,0,0,0,7.2,0%,0,-,0,2.7,3.6,-,11.6km,0,4.5,-,-,-,-,-,-,-
2000294537,Lebohang Mankga,21,69 kg,177 cm,,-,RSA,DStv Premiership,Polokwane City,"€18,000 p/a",-,30/6/2027,D (L),-,2,294,78%,-,0.08,4.9,0.61,0.31,11%,0.31,-,0,-,-,0,0,1,0.25,1.84,100%,1.53,0.31,0.61,5.51,50%,2.76,0.92,9.18,11.33,5.51,0.61,12.4km,2.76,6.73,-,-,-,-,-,-,-
2002150967,Bonolo Mangaliso,16,67 kg,184 cm,,-,RSA,DStv Premiership,Sundowns,"€1,500 p/a",-,30/6/2029,AM (C),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65042377,Ronaldinho Johnson,23,65 kg,174 cm,,-,RSA,DStv Premiership,Cape Town Spurs,"€31,500 p/a",-,30/6/2026,AM (C),-,1,90,83%,-,0,1,0,-,-,0,-,-0.11,0,-,1,0.11,0,0,0,0%,2,0,0,4,0%,0,-,2,8,2,-,13.5km,0,8,-,-,-,-,-,-,-
2000164296,Obarate Morgan,21,63 kg,171 cm,,-,RSA,DStv Premiership,Stellenbosch FC,"€15,250 p/a",-,30/6/2026,AM (C),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
