name,uid,pressures,tackleRating,posessionWonPer90,ballRetention,progressivePassesPer90,keyPasses,chancesCreated,npXG,badges,ratingScores
Rousimar Sestrem,2002152637,42.72,97.34,85.4,77.85,93.61,22.99,34.61,52.52,,{}
Dorian Teixeira,2002123636,20.76,57.65,64.79,79.34,51.07,3.5,4.34,24.21,,{}
Saïmon Bouabré,2000183494,53.45,50.7,16.18,30.83,18.28,33.07,29.76,52.52,,{}
David Bowers,2002133290,44.36,18.98,7.98,21.69,13.57,89.93,91.74,99.11,advanced playmaker,{"advanced playmaker":94}
Luciano Campos,2000144496,20.52,64.18,65.35,84.65,71.36,52.61,38.53,31.67,,{}
Resley Kessels,2000198445,34.1,82.93,25.19,29.24,27.33,49.72,59.19,42.77,,{}
Davide Domenici,2002134093,44.36,75.09,39.13,58.91,15.53,51.91,46.74,63.39,,{}
Joseph Nonge Boende,2000103266,1.49,75.09,1.4,52.99,1.45,1.63,4.34,5.83,,{}
Jeppe Corfitzen,2000126871,11.8,95.34,5.08,16.46,6.02,55.27,49.77,69.31,,{}
Esteban Bianchi,2002146875,41.42,15.95,9.1,9.7,76.82,90.95,87.59,92.82,advanced playmaker,{"advanced playmaker":90}
Fabián Rodrigo,2002136264,66.7,15.95,61.19,41.09,62.5,74.77,75.09,71.83,advanced playmaker,{"advanced playmaker":74}
Eduard Gonzi,2002153586,6.34,3.96,69.31,87.55,50.14,18.33,23.46,24.21,,{}
Kiano Dyer,2000273472,47.67,2.71,52.24,63.11,65.49,53.96,53.03,31.67,,{}
Julio Cano,2002134914,18.94,23.27,81.67,84.1,37.22,6.25,4.34,16.98,,{}
Sergio Mostarda,2002101828,41.98,57.65,60.63,78.68,26.4,16.84,4.34,2.05,,{}
Samuel Lucero,2000118156,24.39,64.18,61.61,85.21,49.81,22.48,4.34,0.37,,{}
Rudi Almeida,2000144735,99.16,75.09,91.32,40.9,77.52,60.45,59.19,56.67,destroyer,{"destroyer":89}
Aldo Guerrini,2002144653,28.26,95.34,86.8,68.56,14.27,27.57,32.7,10.91,,{}
Ryan Barry,2002123391,7.74,88.81,56.48,85.49,38.11,13.11,12.27,5.83,,{}
Gregory Jansen,2002104182,29.71,7,11.89,23.46,19.87,71.32,67.58,84.19,,{}
Gastón Parafita,2002136262,13.01,50.7,83.07,90.44,80.27,5.83,4.34,10.91,,{}
