name,uid,tackleRating,headersWonRatio,progressivePassesPer90,badges,ratingScores
Wilgot Marshage,93151749,66.78,21.17,12.32,,{}
João Dalla Corte,2000227264,76.43,27.3,86.62,spreader,{"spreader":87}
Gonzalo Escudero,2000251840,82.16,36.28,90.81,spreader,{"spreader":91}
Alan Kardec,2002131861,79.29,27.3,83.42,spreader,{"spreader":83}
Patrick Enrici,43375373,72.1,13.98,34.95,,{}
Fabio Saccon,2002154350,12.05,48.27,76.7,spreader,{"spreader":77}
Diego Mastrángelo,14254708,72.1,30.03,76.23,spreader,{"spreader":76}
Dani Ramos,2002101757,33.29,36.28,5.93,,{}
Javier Presedo,2002136168,22.97,4.06,88.15,spreader,{"spreader":88}
Giovanni Leoni,2000259904,66.78,45.07,13.25,,{}
Francesco Furlan,2000165201,33.29,51.86,73.7,spreader,{"spreader":74}
Santiago Ramos Mingo,14219093,95.07,76.23,12.45,aggressor,{"aggressor":86}
Alan Riveros,2002105168,93.01,68.64,64.91,,{}
Leny Yoro,2000182819,28.1,88.75,26.5,,{}
Khoirul Saputra,2002072887,33.29,79.43,55.46,,{}
José Roberto,2002075433,22.97,9.39,79.36,spreader,{"spreader":79}
Tomás Lecanda,14223202,15.18,42.08,46.21,,{}
Marcelo Melo,2002142668,76.43,68.64,90.21,spreader,{"spreader":90}
Simone Canestrelli,43317665,22.97,94.54,58.66,,{}
Giovanni Gambini,2002123861,15.18,25.1,59.45,,{}
Rafael Fernandes,83261911,91.81,96.01,18.58,aggressor,{"aggressor":94}
Vladimir Stojaković,2002124437,18.71,86.82,22.44,,{}
Sergio Saizar,2002134436,66.78,48.27,93.81,spreader,{"spreader":94}
Alberto Dossena,43202417,46.27,79.43,23.9,,{}
Arthur Piedfort,2000122317,97.47,1.07,1,,{}
Renzo Giampaoli,14201366,22.97,55.86,13.78,,{}
Jamil Najjar,2000071245,22.97,65.05,49.27,,{}
Victor Gabriel,2000085002,79.29,60.59,42.28,,{}
Pietro Marocco,2002134328,18.71,96.01,53.46,,{}
Tomás Benatti,2002120024,87.48,10.32,97,spreader,{"spreader":97}
Serafino Bello,2002133562,53.73,79.43,33.42,,{}
Rubén Zamora,2002126173,84.89,55.86,28.76,,{}
Finn Dicke,2000040338,46.27,33.16,25.43,,{}
Anderson,2002098449,2.06,79.43,43.01,,{}
Maxwell Woledzi,27160150,99.67,1.07,1,,{}
Pontus Texel,2000025157,79.29,36.28,58.06,,{}
Juan Martini,2000299787,60.79,79.43,44.14,,{}
Costanzo Heredia,2000206126,72.1,19.17,64.91,,{}
Augusto López,2002146624,39.21,36.28,81.36,spreader,{"spreader":81}
Kyllian Berthe,2002075464,60.79,68.64,42.68,,{}
Tim Siersleben,91170080,60.79,36.28,11.78,,{}
Robin Voisine,49053826,66.78,30.03,37.22,,{}
Stuart Monaghan,2002074506,53.73,92.54,56.39,,{}
José Luis,2002124486,22.97,33.16,34.02,,{}
Marcelo,2002131983,9.72,39.08,99.93,spreader,{"spreader":100}
