name,uid,expectedSavesDiff,savesHeldPercentage,goalsPrevented90,passesAccuracy,proggressivePasses,badges,ratingScores
Koki Ogawa,2002098008,14.62,78.07,7.78,55.19,88.92,,{}
Ferreira,2002180789,99.29,70.28,97.17,88.21,33.96,shot stopper,{"shot stopper":89}
Juan Santos,2002134506,68.16,7.08,73.11,88.21,62.03,,{}
Jens Heylen,2000254420,14.62,8.96,40.8,24.76,50.47,,{}
Nicolás Nocetti,2000058766,68.16,31.37,75.94,37.74,4.48,,{}
Andreas Søndergaard,27141799,92.22,2.59,46.7,24.76,4.48,,{}
Lukas Baranzini,2002075322,14.62,78.07,15.09,71.46,30.9,,{}
Manuel Roffo,14184167,51.89,37.5,98.82,44.81,54.01,,{}
Oscar Bravo,2002156775,28.54,26.42,12.74,39.39,63.44,,{}
Dennis Konrad,2002123091,84.2,50.24,96.23,8.49,89.86,,{}
Antonio Gomis,2000125969,28.54,17.69,22.41,8.49,70.99,,{}
Gonzalo Álvarez,2002074338,51.89,89.62,56.6,51.89,62.03,,{}
Francisco Moyano,2002145273,68.16,65.09,73.11,42.92,78.3,,{}
Logan Ancion,18115987,92.22,2.59,46.7,24.76,4.48,,{}
Daniel Aguirre,2002074621,58.96,31.37,64.62,43.87,67.45,,{}
Álvaro Banquero,2000277385,45.75,96.93,46.7,75.71,13.44,,{}
Benjamín Carrasco,2002121391,78.07,57.78,73.11,12.74,82.08,,{}
Valdemar Birksø,27129127,92.22,2.59,46.7,27.59,4.48,,{}
José García,2002144652,28.54,26.42,25,44.81,50.47,,{}
Kaique,2000062966,87.5,84.43,81.84,61.79,80.9,shot stopper,{"shot stopper":85}
Gonzalo Siri,2000051685,78.07,21.7,97.88,0.47,83.02,,{}
Ivan Saio,43425848,92.22,50.24,59.43,5.9,87.26,,{}
Mikel Zabala,2002125919,78.07,26.42,73.11,63.44,65.33,,{}
Gustav Aabro,2000176991,9.67,84.43,29.72,19.34,12.5,,{}
Lukas Jensen,27147187,92.22,2.59,46.7,29.95,4.48,,{}
Juan Pablo Zozaya,14240704,84.2,37.5,63.21,60.61,24.29,,{}
Jerónimo Gutiérrez,2000305006,7.31,65.09,29.72,15.33,79.25,,{}
Diego Iglésias,2000307794,92.22,2.59,46.7,21.93,4.48,,{}
Gabriel Batista,19249719,28.54,84.43,59.43,5.19,40.57,,{}
Oscar Hedvall,27119204,92.22,2.59,46.7,21.93,4.48,,{}
João Virgínia,28109598,19.58,31.37,34.2,55.19,46.23,,{}
Isaac da Cruz,2002072872,28.54,57.78,20.75,59.2,36.08,,{}
Semuel Pizzignacco,43392090,28.54,50.24,67.22,16.75,90.33,,{}
Sidney van Marrewijk,2002102550,51.89,31.37,46.7,8.49,58.96,,{}
Enrique Maza,2000278504,58.96,37.5,77.83,56.6,48.11,,{}
Julián Kadijevic,2000080336,28.54,98.58,27.12,88.21,37.5,,{}
Rodrigo Borzone,2000102497,38.92,31.37,34.2,68.63,24.29,,{}
Francisco Salerno,14251385,19.58,84.43,15.09,1.18,58.96,,{}
Juan Cautela,2000094589,78.07,65.09,84.67,75.71,43.4,,{}
Jeremías Florentin,2000274763,28.54,57.78,73.11,68.63,48.11,,{}
Otávio,2000243117,4.01,26.42,0.71,68.63,29.72,,{}
Andrea Pagno,43425624,28.54,21.7,52.36,33.25,54.01,,{}
Alberto Flores,2000094510,98.82,70.28,99.29,65.8,23.11,shot stopper,{"shot stopper":89}
Braima Silva,2002190786,4.01,43.63,3.54,68.63,52.36,,{}
Mikkel Markdal,2000204609,92.22,2.59,46.7,27.59,4.48,,{}
Andrea Sergio Mazza,2000075628,12.03,50.24,3.07,47.41,75.94,,{}
Niccolò Chiorra,43390232,19.58,97.88,59.43,1.89,97.88,,{}
Gustavo Calderari,2000044163,38.92,57.78,31.84,88.21,11.56,,{}
Axel Willockx,2000307796,92.22,2.59,46.7,24.76,4.48,,{}
Mauro Casoli,14224328,12.03,15.09,10.14,14.39,97.41,,{}
Máximo Leguizamón,2000276459,2.59,65.09,2.59,48.35,59.91,,{}
Jonathan Leclere,2002072484,38.92,31.37,31.37,53.77,40.57,,{}
Luciano Velázquez,2002074292,28.54,70.28,4.01,95.75,30.9,,{}
Luís Felipe,2002131836,97.64,96.93,99.76,37.74,42.22,shot stopper,{"shot stopper":98}
Matheus,2000273911,78.07,17.69,54.72,88.21,14.62,,{}
Matías Cao,2002136442,51.89,50.24,83.25,88.21,62.03,,{}
Vinicius Machado,19390625,92.22,26.42,46.7,33.25,91.98,,{}
Rodrigo,2002161067,68.16,96.93,92.45,88.21,16.98,,{}
Renato,2002152662,99.76,7.08,83.25,95.75,20.05,,{}
Igor Hulsken,2002134565,28.54,43.63,62.03,57.55,54.95,,{}
Iván Frías,2002136269,4.95,92.69,1.18,53.77,25.47,,{}
Jorge Luque,2000081384,7.31,37.5,1.65,35.61,93.63,,{}
João Fidalgo,2000199259,4.01,99.29,0.24,68.63,46.23,,{}
Dick van Gelderen,2002102379,51.89,17.69,92.45,63.44,26.89,,{}
Malthe Petersen,2002144227,92.22,2.59,46.7,16.75,4.48,,{}
Augusto César Brandão,2002161270,28.54,78.07,40.8,59.2,96.93,,{}
Léopold Vaesen,2002162279,1.18,5.42,22.41,27.59,4.48,,{}
