name,uid,chancesCreated,openCrossesRatio,openSucessfullCrosses90,dribbles,conv,npXG,keyPasses,xA,badges,ratingScores
Emanuel Barco,2002146700,91.88,54.55,73.88,20.48,19.09,25.88,94.18,89.82,wide playmaker,{"wide playmaker":92}
Mario Sanabria,2000052064,82.55,32.06,84.24,73.03,4.61,17.09,75.64,84.61,wide playmaker,{"wide playmaker":81}
Peter,2000050721,98.61,60.18,87.09,81.88,4.61,34.61,83.52,98.79,wide playmaker,{"wide playmaker":94}
Zakaria El Ouahdi,2000065641,2,90.12,3.45,4.48,31.76,81.15,3.27,32.79,,{}
Henrik Shahinyan,2002075462,15.94,84.55,10.61,25.76,75.27,70.85,13.52,9.7,,{}
Tim Lakies,2002073014,71.15,8.97,27.33,62.73,68.48,54.42,56.48,64.18,,{}
Justin Njinmah,91205613,7.27,2.61,3.45,38.12,75.27,82.42,11.21,1.39,,{}
Guillermo Barone,2002127476,73.82,32.06,23.45,58.48,92.42,85.58,61.88,56.24,,{}
Claudio Jara,2002127308,44.79,48.73,34.3,35.15,55.82,83.88,22.36,37.88,,{}
Hamza Bouhadi,2000117328,14.3,60.18,72.18,30.18,55.82,57.45,22.36,27.82,,{}
Takeshi Suzuki,2000272880,57.94,48.73,84.24,81.64,42.55,34.61,81.03,74.61,,{}
Elayis Tavşan,37065568,25.27,2.61,3.45,44.06,94,23.45,13.52,3.45,,{}
Éverton,2002131819,98.73,75.64,99.94,99.82,47.03,90,99.7,98.79,winger;wide playmaker,{"winger":94;"wide playmaker":99}
Guychel Ilunga,2000144045,2,2.61,3.45,1.33,12.55,28.36,1.39,13.39,,{}
Shane Doyle,2002123278,50,54.55,71.21,46.42,37.09,92.42,47.88,51.7,,{}
Gustavo Sepe,2002136495,56.79,18.61,36.06,94.24,42.55,87.39,26.73,47.58,,{}
Davide Bagnato,2002074013,89.64,48.73,95.52,75.94,15.64,34.61,94.18,91.15,wide playmaker,{"wide playmaker":92}
Eugenio Paz,2002146901,78.3,48.73,77.03,72.61,4.61,20.42,25.27,27.82,,{}
Lautaro Vargas,2000220608,69.58,42.61,82.06,78.85,4.61,20.42,75.64,88.61,,{}
Diogo Henriques,2002101694,21.94,90.12,68.42,75.94,90.73,7.27,17.82,22.79,,{}
Axel Guerra,2000028232,88.91,98.61,93.7,64.36,51.52,68.85,89.52,91.15,wide playmaker,{"wide playmaker":90}
Marcelo,2002131983,53.82,37.33,95.88,34.48,19.09,14.61,85.94,64.18,,{}
Massimiliano Matta,2002123584,31.45,8.97,25.27,31.33,84.91,54.42,46.73,71.21,,{}
Isaac Nuyts,2000250326,2,2.61,3.45,1.33,15.64,93.52,1.39,22.79,,{}
Renato Pedro,2000024674,40.36,84.55,27.33,28,96.42,47.82,23.39,27.82,,{}
Francisco Facello,2000200412,89.64,81.76,98.97,69.45,15.64,20.42,92.61,97.21,wide playmaker,{"wide playmaker":93}
Bas Nuijten,2002075262,12.73,37.33,21.52,23.58,37.09,9.82,45.58,13.39,,{}
Leonardo Venturelli,2002124695,35.64,18.61,57.45,36.48,37.09,5.39,26,42.97,,{}
Bruno Pereira,2002144411,85.58,54.55,86.12,96.18,47.03,41.21,76.36,74.61,wide playmaker,{"wide playmaker":79}
Emili Rojo,2002072502,84.42,22.12,71.21,85.94,60.55,41.21,38,67.88,,{}
Julián Núñez,2002156592,76.42,98.36,59.7,52.55,84.91,98.55,82.12,74.61,wide playmaker,{"wide playmaker":78}
Andrés Velázquez,2002136302,60.42,26.48,87.88,38.61,37.09,9.82,68.91,74.61,,{}
Otacílio Cardoso,2002131895,68.24,97.58,43.82,52.55,19.09,64.55,94.73,79.45,,{}
Gastón Irala,2002156677,57.94,78.67,74.97,92,68.48,67.09,66.18,64.18,,{}
Lassana Silva,2000024682,95.52,42.61,72.85,42.97,84.91,68.85,79.88,88.61,wide playmaker,{"wide playmaker":88}
Anton Gaaei,2000138501,2,8.97,39.94,34.12,23.21,9.82,26.73,1.39,,{}
Stefano Turco,2000104666,43.33,37.33,79.09,44.55,4.61,12.61,31.88,47.58,,{}
Cristóbal Fraile,2002145735,56.79,26.48,20.24,62.12,92.42,94.3,64,60.36,,{}
N'dri Philippe Koffi,49062609,38.61,15.27,16.61,26.18,75.27,92.42,15.76,13.39,,{}
Simon Elisor,49060444,2,2.61,3.45,3.21,37.09,87.39,2.85,60.36,,{}
Hakim Sahabo,2000208403,4.36,96.36,75.76,18,12.55,68.85,16.3,9.7,,{}
Gastón Giacone,2002136700,23.76,7.45,30.97,73.82,60.55,54.42,83.52,47.58,,{}
Dominik Keller,2000024259,26.55,5.94,43.82,73.52,37.09,67.09,32.61,17.88,,{}
Régis Kinsombi,2002133479,5.33,2.61,3.45,2.91,27.52,54.42,6.73,17.88,,{}
Agustín Ríos,2002156312,33.03,15.27,42.18,49.82,55.82,76.3,70.06,77.27,,{}
Younes Mokhtari,37079431,7.27,2.61,3.45,4.73,55.82,78.24,6.73,22.79,,{}
Joan Afonso,14254107,44.79,95.09,52.67,24.55,92.42,44.36,49.88,22.79,,{}
