name,uid,posessionWonPer90,tackleRating,headersWonRatio,keyPasses,openCrossesRatio,openSucessfullCrosses90,sprints,dribbles,badges,ratingScores
Buba Sangaré,2000301767,43.43,58.73,7.33,90.3,52.48,97.31,85.24,88.36,,{}
Filippo Ballarini,2002134334,81.57,71.98,86.64,28.13,6.57,6.68,28.13,42.03,wide defender,{"wide defender":80}
Óscar Mingueza,67245413,46.23,18.32,88.79,17.35,18.21,25.65,30.6,24.78,,{}
John Bassey,2000103826,44.94,51.08,97.74,45.69,94.83,45.8,19.5,2.05,,{}
Valeriy Bondar,71093182,29.42,51.08,34.16,6.79,6.57,6.68,14.33,18.32,,{}
Fred-Werner Klöppner,89069855,52.59,51.08,34.16,91.7,66.06,86.21,88.69,84.91,,{}
Alessandro Circati,2000017415,87.39,18.32,57.54,34.91,32.97,30.28,34.81,23.06,,{}
Kevin Moreira,37084821,63.15,65.73,38.04,49.78,42.78,33.51,34.16,55.5,,{}
Sergio Sarmiento,2002120197,27.69,71.98,60.78,19.29,70.8,15.84,17.56,23.06,,{}
Diego Coronel,2002127303,60.24,22.52,84.27,5.82,37.39,18.64,18.43,24.78,,{}
Adam Steele,2002074504,89.33,82.76,63.69,92.78,48.49,94.5,79.96,92.67,,{}
Bećir Omeragić,98046083,24.68,94.61,63.69,10.24,56.68,25.65,7,20.47,,{}
Matěj Martínek,2002135788,17.13,65.73,27.05,89.55,32.97,86.85,79.96,62.93,,{}
Rubén Pulido,67277454,37.61,43.32,40.73,36.1,56.68,18.64,39.33,15.73,,{}
Mujaid Sadick,67249928,36.21,35.02,43.97,38.47,89.98,58.73,42.35,37.82,,{}
Ronald Tapia,2000193985,87.72,35.02,32.44,70.91,48.49,37.07,49.03,52.37,,{}
Eren Elmalı,70123223,77.91,43.32,25.97,9.05,15.84,21.98,67.13,53.34,,{}
Edward Ryan,2002074264,97.52,4.96,94.72,27.26,48.49,37.07,55.93,51.94,,{}
Mehmet Fatih Cingirt,2002072781,96.01,77.91,30.93,75.32,56.68,70.47,58.41,62.28,,{}
Gabriele Zappa,43272248,77.69,28.02,57.54,65.95,22.95,45.8,72.2,41.38,,{}
Timothée Pembélé,49058792,91.92,51.08,69.94,89.12,79.09,64.44,45.47,71.23,,{}
Marcos Cardozo,2002136172,35.13,58.73,23.92,73.06,66.06,83.51,80.71,90.09,,{}
Jackson Tchatchoua,18115949,14.22,15.09,13.15,83.73,61.53,92.13,58.08,91.16,,{}
Darrell McGregor,2002123222,30.82,43.32,27.05,59.48,25.86,79.63,97.74,92.35,,{}
Lee Jones,2002074217,22.2,71.98,8.41,67.89,32.97,82,74.78,84.59,,{}
Ferdi Çolak,2002072713,42.35,15.09,78.45,37.61,89.98,37.07,10.99,13.15,,{}
Killian Sardella,18107457,21.34,86.85,45.37,21.98,76.51,33.51,8.19,23.06,,{}
Andy Lyons,52090947,88.25,51.08,52.26,55.28,13.69,35.24,87.82,72.63,,{}
Serkan Arslan,2000059168,19.72,9.81,47.52,87.28,18.21,15.84,37.93,57.65,,{}
Shimpei Fukuoka,45111294,10.56,28.02,9.16,40.84,91.92,33.51,27.8,18.32,,{}
Baltasar Barcia,2000090753,53.88,22.52,54.63,91.7,81.9,94.72,98.17,85.99,wing back,{"wing back":90}
Néider Bahoque,2000190931,6.36,28.02,18.1,56.47,99.03,13.69,34.38,31.47,,{}
Valentin Antov,22067326,15.63,35.02,88.79,4.53,99.03,15.84,5.71,20.47,,{}
Luca Kilian,91172547,16.81,51.08,86.64,10.24,6.57,6.68,23.92,2.05,,{}
Nick Agnew,2002123204,6.14,28.02,4.63,78.99,42.78,82.87,71.88,99.25,,{}
Ivan Turitsov,22072545,25.75,58.73,43.97,23.06,56.68,64.44,54.85,46.23,,{}
Marcel Ratnik,62248917,27.91,65.73,93,5.82,6.57,6.68,4.85,12.39,,{}
Narongsak Raksa,2002133480,4.2,77.91,27.05,29.09,15.84,33.51,42.89,51.51,,{}
Xavier Mbuyamba,37080993,94.29,18.32,96.34,14.76,70.8,43.97,21.44,34.91,,{}
Eliano Reijnders,37076385,12.39,35.02,23.92,74.14,87.07,77.05,48.6,78.34,,{}
